home,away,score
Chelsea F.C.,Manchester United F.C.,1-0
Chelsea F.C.,Newcastle United F.C.,2-1
Chelsea F.C.,Nottingham Forest F.C.,1-1
Chelsea F.C.,Southampton F.C.,4-0
Chelsea F.C.,Tottenham Hotspur F.C.,1-0
Chelsea F.C.,West Ham United F.C.,2-1
Chelsea F.C.,Wolverhampton Wanderers F.C.,3-1
Crystal Palace F.C.,Arsenal F.C.,1-5
Crystal Palace F.C.,Aston Villa F.C.,4-1
Crystal Palace F.C.,AFC Bournemouth,0-0
Crystal Palace F.C.,Brentford F.C.,1-2
Crystal Palace F.C.,Brighton & Hove Albion F.C.,2-1
Crystal Palace F.C.,Chelsea F.C.,1-1
Crystal Palace F.C.,Everton F.C.,1-2
Crystal Palace F.C.,Fulham F.C.,0-2
Crystal Palace F.C.,Ipswich Town F.C.,1-0
Crystal Palace F.C.,Leicester City F.C.,2-2
Crystal Palace F.C.,Liverpool F.C.,0-1
Crystal Palace F.C.,Manchester City F.C.,2-2
Crystal Palace F.C.,Manchester United F.C.,0-0
Crystal Palace F.C.,Newcastle United F.C.,1-1
Crystal Palace F.C.,Nottingham Forest F.C.,1-1
Crystal Palace F.C.,Southampton F.C.,2-1
Crystal Palace F.C.,Tottenham Hotspur F.C.,1-0
Crystal Palace F.C.,West Ham United F.C.,0-2
Crystal Palace F.C.,Wolverhampton Wanderers F.C.,4-2
Everton F.C.,Arsenal F.C.,1-1
Everton F.C.,Aston Villa F.C.,0-1
Everton F.C.,AFC Bournemouth,2-3
Everton F.C.,Brentford F.C.,0-0
Everton F.C.,Brighton & Hove Albion F.C.,0-3
Everton F.C.,Chelsea F.C.,0-0
Everton F.C.,Crystal Palace F.C.,2-1
Everton F.C.,Fulham F.C.,1-1
Everton F.C.,Ipswich Town F.C.,2-2
Everton F.C.,Leicester City F.C.,4-0
Everton F.C.,Liverpool F.C.,2-2
Everton F.C.,Manchester City F.C.,0-2
Everton F.C.,Manchester United F.C.,2-2
Everton F.C.,Newcastle United F.C.,0-0
Everton F.C.,Nottingham Forest F.C.,0-2
Everton F.C.,Southampton F.C.,2-0
Everton F.C.,Tottenham Hotspur F.C.,3-2
Everton F.C.,West Ham United F.C.,1-1
Everton F.C.,Wolverhampton Wanderers F.C.,4-0
Fulham F.C.,Arsenal F.C.,1-1
Fulham F.C.,Aston Villa F.C.,1-3
Fulham F.C.,AFC Bournemouth,2-2
Fulham F.C.,Brentford F.C.,2-1
Fulham F.C.,Brighton & Hove Albion F.C.,3-1
Fulham F.C.,Chelsea F.C.,1-2
Fulham F.C.,Crystal Palace F.C.,0-2
Fulham F.C.,Everton F.C.,1-3
Fulham F.C.,Ipswich Town F.C.,2-2
Fulham F.C.,Leicester City F.C.,2-1
Fulham F.C.,Liverpool F.C.,3-2
Fulham F.C.,Manchester City F.C.,0-2
Fulham F.C.,Manchester United F.C.,0-1
Fulham F.C.,Newcastle United F.C.,3-1
Fulham F.C.,Nottingham Forest F.C.,2-1
Fulham F.C.,Southampton F.C.,0-0
Fulham F.C.,Tottenham Hotspur F.C.,2-0
Fulham F.C.,West Ham United F.C.,1-1
Fulham F.C.,Wolverhampton Wanderers F.C.,1-4
Ipswich Town F.C.,Arsenal F.C.,0-4
Ipswich Town F.C.,Aston Villa F.C.,2-2
Ipswich Town F.C.,AFC Bournemouth,1-2
Ipswich Town F.C.,Brentford F.C.,0-1
Ipswich Town F.C.,Brighton & Hove Albion F.C.,0-2
Ipswich Town F.C.,Chelsea F.C.,2-0
Ipswich Town F.C.,Crystal Palace F.C.,0-1
Ipswich Town F.C.,Everton F.C.,0-2
Ipswich Town F.C.,Fulham F.C.,1-1
Ipswich Town F.C.,Leicester City F.C.,1-1
Ipswich Town F.C.,Liverpool F.C.,0-2
Ipswich Town F.C.,Manchester City F.C.,0-6
Ipswich Town F.C.,Manchester United F.C.,1-1
Ipswich Town F.C.,Newcastle United F.C.,0-4
Ipswich Town F.C.,Nottingham Forest F.C.,2-4
Ipswich Town F.C.,Southampton F.C.,1-2
Ipswich Town F.C.,Tottenham Hotspur F.C.,1-4
Ipswich Town F.C.,West Ham United F.C.,1-3
Ipswich Town F.C.,Wolverhampton Wanderers F.C.,1-2
Leicester City F.C.,Arsenal F.C.,0-2
Leicester City F.C.,Aston Villa F.C.,1-2
Leicester City F.C.,AFC Bournemouth,1-0
Leicester City F.C.,Brentford F.C.,0-4
Leicester City F.C.,Brighton & Hove Albion F.C.,2-2
Leicester City F.C.,Chelsea F.C.,1-2
Leicester City F.C.,Crystal Palace F.C.,0-2
Leicester City F.C.,Everton F.C.,1-1
Leicester City F.C.,Fulham F.C.,0-2
Leicester City F.C.,Ipswich Town F.C.,2-0
Leicester City F.C.,Liverpool F.C.,0-1
Leicester City F.C.,Manchester City F.C.,0-2
Leicester City F.C.,Manchester United F.C.,0-3
Leicester City F.C.,Newcastle United F.C.,0-3
Leicester City F.C.,Nottingham Forest F.C.,1-3
Leicester City F.C.,Southampton F.C.,2-0
Leicester City F.C.,Tottenham Hotspur F.C.,1-1
Leicester City F.C.,West Ham United F.C.,3-1
Leicester City F.C.,Wolverhampton Wanderers F.C.,0-3
Liverpool F.C.,Arsenal F.C.,2-2
Liverpool F.C.,Aston Villa F.C.,2-0
Liverpool F.C.,AFC Bournemouth,3-0
Liverpool F.C.,Brentford F.C.,2-0
Liverpool F.C.,Brighton & Hove Albion F.C.,2-1
Liverpool F.C.,Chelsea F.C.,2-1
Liverpool F.C.,Crystal Palace F.C.,1-1
Liverpool F.C.,Everton F.C.,1-0
Liverpool F.C.,Fulham F.C.,2-2
Liverpool F.C.,Ipswich Town F.C.,4-1
Liverpool F.C.,Leicester City F.C.,3-1
Liverpool F.C.,Manchester City F.C.,2-0
Liverpool F.C.,Manchester United F.C.,2-2
Liverpool F.C.,Newcastle United F.C.,2-0
Liverpool F.C.,Nottingham Forest F.C.,0-1
Liverpool F.C.,Southampton F.C.,3-1
Liverpool F.C.,Tottenham Hotspur F.C.,5-1
Liverpool F.C.,West Ham United F.C.,2-1
Liverpool F.C.,Wolverhampton Wanderers F.C.,2-1
Manchester City F.C.,Arsenal F.C.,2-2
Manchester City F.C.,Aston Villa F.C.,2-1
Manchester City F.C.,AFC Bournemouth,3-1
Manchester City F.C.,Brentford F.C.,2-1
Manchester City F.C.,Brighton & Hove Albion F.C.,2-2
Manchester City F.C.,Chelsea F.C.,3-1
Manchester City F.C.,Crystal Palace F.C.,5-2
Manchester City F.C.,Everton F.C.,1-1
Manchester City F.C.,Fulham F.C.,3-2
Manchester City F.C.,Ipswich Town F.C.,4-1
